from,to,relationship
UvdL,CDU,2
UvdL,F500,1
LK,SPD,2
LK,F500,1
LK,F503,1
LK,F506,1
CL,FDP,2
CL,F501,1
NR,CDU,2
NR,F500,1
NR,F501,1
SW,F500,1
CS,F500,1
KS,F501,1
LM,F501,1
KD,F501,1
EL,F501,1
AB,Green,2
AB,F502,1
FT,F502,1
AM,F502,1
AGL,FDP,2
AGL,F502,1
AGL,F504,1
ER,F502,1
RH,Green,2
RH,F503,1
CM,F503,1
KP,F503,1
RK,CDU,2
RK,F503,1
CLB,SPD,2
CLB,F504,1
SB,F504,1
CH,F504,1
MW,F504,1
MS,CDU,2
MS,F506,1
VG,F506,1
MB,Green,2
MB,F506,1
RA,F506,1
